node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
48326,3,TSPA,100,200,23735,GreedyCycle2Regret_w1_1_start145,72061,GreedyCycle2Regret_w1_1
47895,3,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start146,71385,GreedyCycle2Regret_w1_1
49458,4,TSPA,100,200,23933,GreedyCycle2Regret_w1_1_start147,73391,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start148,71523,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start149,71947,GreedyCycle2Regret_w1_1
49879,4,TSPA,100,200,23514,GreedyCycle2Regret_w1_1_start150,73393,GreedyCycle2Regret_w1_1
48484,4,TSPA,100,200,23456,GreedyCycle2Regret_w1_1_start151,71940,GreedyCycle2Regret_w1_1
48478,3,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start152,71933,GreedyCycle2Regret_w1_1
48807,4,TSPA,100,200,23029,GreedyCycle2Regret_w1_1_start153,71836,GreedyCycle2Regret_w1_1
48346,4,TSPA,100,200,23374,GreedyCycle2Regret_w1_1_start154,71720,GreedyCycle2Regret_w1_1
49019,4,TSPA,100,200,23020,GreedyCycle2Regret_w1_1_start155,72039,GreedyCycle2Regret_w1_1
49023,4,TSPA,100,200,23408,GreedyCycle2Regret_w1_1_start156,72431,GreedyCycle2Regret_w1_1
48501,3,TSPA,100,200,23507,GreedyCycle2Regret_w1_1_start157,72008,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start158,71750,GreedyCycle2Regret_w1_1
47838,4,TSPA,100,200,23605,GreedyCycle2Regret_w1_1_start159,71443,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start160,71385,GreedyCycle2Regret_w1_1
49691,4,TSPA,100,200,23693,GreedyCycle2Regret_w1_1_start161,73384,GreedyCycle2Regret_w1_1
48369,3,TSPA,100,200,23856,GreedyCycle2Regret_w1_1_start162,72225,GreedyCycle2Regret_w1_1
49227,4,TSPA,100,200,23328,GreedyCycle2Regret_w1_1_start163,72555,GreedyCycle2Regret_w1_1
48172,4,TSPA,100,200,24230,GreedyCycle2Regret_w1_1_start164,72402,GreedyCycle2Regret_w1_1
